気象庁データ  京都府 2023年 月ごとの値
    <-   最大降水量(mm)   -> <-       気温(気温℃ )       ->
月   合計   1日 1時間 10分間 日平均 日最高 日最低 最高 最低
 1   39.0  12.0  3.5    1.5    5.1    9.5    1.6  14.8 -4.0
 2   36.0  11.0  5.0    2.0    6.0   10.5    2.4  18.3 -1.3
 3   91.5  23.0  4.5    1.5   12.3   18.7    6.7  25.5  2.2
 4  208.0  58.5 20.0    6.0   15.4   21.1   10.3  29.0  4.9
 5  253.0 123.5 14.5    4.0   19.7   25.6   14.9  32.5  9.1
 6  228.0  92.5 16.0    8.5   23.6   28.2   19.8  34.1 13.7
 7   74.5  19.5  9.5    5.0   29.1   34.5   25.0  38.9 22.1
 8  195.5 124.5 21.0    8.5   30.3   35.5   26.7  38.9 24.7
 9   70.0  16.5 16.0    8.5   27.7   32.7   24.0  37.2 19.4
10   60.5  13.5  8.0    5.0   18.2   23.7   14.1  27.3  9.6
11   63.0  20.0  9.5    4.0   13.3   18.4    9.0  26.5  3.8
12   26.0   6.0  4.5    1.5    8.2   13.1    4.3  19.9 -1.0
